产品代码,产品名称,净值,累计净值,风险等级,业绩基准,状态
"FBAG65137A","民生理财贵竹添利优选封闭37号理财产品A",1.013,1.013,2,"2.50%-2.80%","已结束"
"FBAE41097E","民生理财贵竹固收增利天天盈97号理财产品E",1.01777,1.01777,2,"1.00%-2.00%","在售"
"FBAE41166B","民生理财贵竹固收增利周周盈7天持有期66号理财产品（私银）",1.0107,1.0107,2,"1.20%-2.20%","在售"
"FBAE41166E","民生理财贵竹固收增利周周盈7天持有期66号理财产品E",1.0107,1.0107,2,"1.20%-2.20%","在售"
"FBAE47404F","民生理财贵竹固收增利全球精选半年持有期3号理财产品F",1.0117,1.0117,2,"2.40%-3.20%","在售"
"FBAE47404P","民生理财贵竹固收增利全球精选半年持有期3号理财产品P",1.0117,1.0117,2,"2.40%-3.20%","在售"
"FBAE96001A","民生理财贵竹固收增利指数轮动日开1号理财产品",1.0034,1.0034,2,"1.80%-2.60%","在售"
"FBAE47404E","民生理财贵竹固收增利全球精选半年持有期3号理财产品E",1.0117,1.0117,2,"2.40%-3.20%","在售"
"FBAE41345A","民生理财贵竹固收增利月月盈30天持有期45号理财产品A",1.01019,1.01019,2,"1.50%-2.20%","在售"
"FBAE41902F","民生理财贵竹固收增利天天盈102号理财产品F",1.003604,1.003604,2,"1.00%-2.00%","在售"
"FBAE41167M","民生理财贵竹固收增利周周盈7天持有期67号理财产品M",1.004082,1.004082,2,"1.20%-2.20%","在售"
"FBAF19188F","民生理财天天增利现金管理188号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19188M","民生理财天天增利现金管理188号理财产品M",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19188N","民生理财天天增利现金管理188号理财产品N",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG98169A","民生理财富竹固收封闭169号理财产品A",1.0017,1.0017,2,"1.90%-2.10%","已结束"
"FBAG33202E","民生理财秀竹固定收益类封闭2号大连银行专属理财产品E",1.0023,1.0023,2,"2.55%","已结束"
"FBAE60547G","民生理财富竹纯债91天持有期47号理财产品G",1.0036,1.0036,2,"1.60%-2.30%","在售"
"FBAE60547E","民生理财富竹纯债91天持有期47号理财产品E",1.0035,1.0035,2,"1.60%-2.30%","在售"
"FBAE60547F","民生理财富竹纯债91天持有期47号理财产品F",1.0034,1.0034,2,"1.60%-2.30%","在售"
"FBAE60547P","民生理财富竹纯债91天持有期47号理财产品P",1.0037,1.0037,2,"1.60%-2.30%","在售"
"FBAE60336G","民生理财富竹纯债28天持有期36号理财产品G",1.0027,1.0027,2,"1.50%-2.20%","在售"
"FBAE60336E","民生理财富竹纯债28天持有期36号理财产品E",1.0026,1.0026,2,"1.50%-2.20%","在售"
"FBAE60336F","民生理财富竹纯债28天持有期36号理财产品F",1.0025,1.0025,2,"1.50%-2.20%","在售"
"FBAE60336P","民生理财富竹纯债28天持有期36号理财产品P",1.0027,1.0027,2,"1.50%-2.20%","在售"
"FBAE60336M","民生理财富竹纯债28天持有期36号理财产品M",1.0026,1.0026,2,"1.50%-2.20%","在售"
"FBAE43901E","民生理财茂竹固收黄金增强半年持有期理财产品E",1.0,1.0,2,"2.60%-3.40%","在售"
"FBAE41540H","民生理财贵竹固收增利季季盈90天持有期40号理财产品H",1.001969,1.001969,2,"1.60%-2.30%","在售"
"FBAE41540E","民生理财贵竹固收增利季季盈90天持有期40号理财产品E",1.001969,1.001969,2,"1.60%-2.30%","在售"
"FBAE41540M","民生理财贵竹固收增利季季盈90天持有期40号理财产品M",1.001969,1.001969,2,"1.60%-2.30%","在售"
"FBAF19207E","民生理财天天增利现金管理207号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG97198R","民生理财贵竹固收增利盈系列封闭198号理财产品R",1.0024,1.0024,2,"1.95%-2.25%","已结束"
